event_id,event_type,effective_year,event_date_est,event_date_precision,evidence_status,confidence,source,parent_ck,child_ck
adf3fc0f-853f-463a-9692-e9abcf596932,NEW_DISTRICT,2011,2011-01-01,YEAR,OBSERVED,1.00,9657f36a108c,IND-000650,IND-000845
adf7dedc-5678-481b-b72a-b881ad284091,SPLIT,1969,1969-01-01,YEAR,OBSERVED,1.00,4b574d9b34ec,IND-000130,IND-000345
adfed07f-6b8c-44fd-a297-3d525af6d359,NEW_DISTRICT,1989,1989-01-01,YEAR,OBSERVED,1.00,ce12985785a8,,
aef76f53-c36a-4769-87a0-a3ea43c1c835,SPLIT,1991,1991-01-01,YEAR,OBSERVED,1.00,512946131ff9,,
aefc08e8-7278-4711-be12-62022eea3b10,SPLIT,1998,1998-01-01,YEAR,OBSERVED,1.00,213f1cf526f2,,
af47b02f-a31b-4de5-9e12-37c3e2a4ed37,SPLIT,1987,1987-01-01,YEAR,OBSERVED,1.00,e0e93f672cb2,IND-000329,IND-000709
af690fb4-0a56-4b32-956d-a6cf1b2030ce,RENAME,1971,1971-01-01,YEAR,OBSERVED,1.00,37bbd047cc3c,,
af80eca8-ef88-40df-b51a-4396a7b026b6,NEW_DISTRICT,1997,1997-01-01,YEAR,OBSERVED,1.00,b06a58946060,IND-000701,IND-000700
afb3a071-f943-42d3-9b25-70239a96f155,RENAME,1981,1981-01-01,YEAR,OBSERVED,1.00,4ed639b38c94,,
afe4b946-11a5-48eb-847d-fde2f0c361cd,NEW_DISTRICT,1983,1983-01-01,YEAR,OBSERVED,1.00,d6cd296275a0,IND-000347,IND-000390
b0120f4c-7cec-4a68-9182-c429d0975fb2,NEW_DISTRICT,1956,1956-01-01,YEAR,OBSERVED,1.00,76c7c8a784ee,IND-000180,IND-000323
b02ee172-a3ea-4d35-9c5e-8bdac473851f,SPLIT,2013,2013-01-01,YEAR,OBSERVED,1.00,94c1fb821ccb,IND-000093,IND-000879
b0a162fa-d19d-4d81-9ea2-5a307f4428fa,SPLIT,1989,1989-01-01,YEAR,OBSERVED,1.00,b717212b7701,,
b0eb3bad-efba-4e78-b141-31729cb1f64a,SPLIT,1970,1970-01-01,YEAR,OBSERVED,1.00,05aa110382a0,,
b107e7d8-969e-4bd5-88a4-437b67ab275d,NEW_DISTRICT,1989,1989-01-01,YEAR,OBSERVED,1.00,290d9cc8270b,IND-000483,IND-000486
b156d368-4bd3-4e95-8599-bbdd40f7781d,NEW_DISTRICT,1993,1993-01-01,YEAR,OBSERVED,1.00,d724cec02ab7,IND-000226,IND-000645
b1a89ee2-f50c-4725-b993-78248afd86b4,SPLIT,2017,2017-01-01,YEAR,OBSERVED,1.00,1f8e15b6fd2c,,
b1b63888-c5c8-4d41-983e-628daefebac4,NEW_DISTRICT,2008,2008-01-01,YEAR,OBSERVED,1.00,fc1d7a8ed043,IND-000449,IND-000743
b1ec38d1-20de-44ba-bf8d-46c456af33fb,SPLIT,1981,1981-01-01,YEAR,OBSERVED,1.00,9fe7d0eab9eb,,
b2553a04-c3c5-416b-a3c0-8ca1280540fd,NEW_DISTRICT,1966,1966-01-01,YEAR,OBSERVED,1.00,b6d17423793d,IND-000242,IND-000349
b2977884-40e5-4eb8-9c4d-2fefa5a3ed12,NEW_DISTRICT,2016,2016-01-01,YEAR,OBSERVED,1.00,bb5f45e9bad2,IND-000609,IND-000869
b2b118cd-91ea-41aa-87b9-19b6bef96236,SPLIT,1989,1989-01-01,YEAR,OBSERVED,1.00,ce12985785a8,IND-000481,IND-000476
b2b20add-3b4d-4d3e-848e-f576c167a7d7,RENAME,1951,1951-01-01,YEAR,OBSERVED,1.00,a6e17e949a98,,
b2b7eb9a-cb0a-4534-a366-b5d18f6d5bf1,NEW_DISTRICT,1994,1994-01-01,YEAR,OBSERVED,1.00,d955ef6b79d0,IND-000487,IND-000585
b30a352d-8541-4876-bd68-3911f1dfdce9,SPLIT,2004,2004-01-01,YEAR,OBSERVED,1.00,ea4a7ab83d21,,
b33caefe-bed3-448c-90ba-b804b3123f71,RENAME,2011,2011-01-01,YEAR,OBSERVED,1.00,e5fc3cb5d705,,
b3a80fb6-0f0c-48a9-bd48-c29fab94a485,NEW_DISTRICT,1997,1997-01-01,YEAR,OBSERVED,1.00,3eb72fa794b5,,
b3fcd793-922e-4e06-99d5-e32faa66ef0b,SPLIT,2006,2006-01-01,YEAR,OBSERVED,1.00,eb7dd8c6466c,,
b449492f-e958-4576-8adc-21044c40c0dc,SPLIT,1997,1997-01-01,YEAR,OBSERVED,1.00,96c50907964b,,
b456ed55-2871-46c6-91cf-33a51eea366c,SPLIT,1994,1994-01-01,YEAR,OBSERVED,1.00,82d6044f40c7,,
b4d03807-ff3d-4722-aa85-20757f438c38,NEW_DISTRICT,2004,2004-01-01,YEAR,OBSERVED,1.00,01be0ecb71ed,IND-000409,IND-000749
b4d87243-88ff-4013-bfb0-8009bbc05409,SPLIT,2016,2016-01-01,YEAR,OBSERVED,1.00,479ee0961103,IND-000332,IND-000816
b50e6452-8af0-4a95-89fe-da14af358fd6,SPLIT,1993,1993-01-01,YEAR,OBSERVED,1.00,242a4fd5abaa,,
b51c213b-6f15-469d-ae78-c6abfcf5b269,NEW_DISTRICT,1985,1985-01-01,YEAR,OBSERVED,1.00,9d363c92b34d,IND-000415,IND-000527
b54078c4-eb81-41f8-95bb-f9ada9abbcd9,NEW_DISTRICT,1986,1986-01-01,YEAR,OBSERVED,1.00,5535cdf9ecb0,IND-000522,IND-000898
b58eb440-4477-4b2f-8eb4-95be20469f9f,NEW_DISTRICT,2012,2012-01-01,YEAR,OBSERVED,1.00,a65439a9efda,IND-000394,IND-000855
b5902bc1-0c94-4031-9f24-8175443f77f0,NEW_DISTRICT,1990,1990-01-01,YEAR,OBSERVED,1.00,2ebadcba5739,IND-000359,IND-000494
b593f6ad-f6a3-4568-8df8-eb9e1fd77afa,SPLIT,1979,1979-01-01,YEAR,OBSERVED,1.00,42dea92dea03,,
b5e24260-e276-47cd-97a1-b2ab3b78fb89,NEW_DISTRICT,2020,2020-01-01,YEAR,OBSERVED,1.00,af2e7c233f68,,
b622248f-a38e-4a95-858b-639b4cb21f98,NEW_DISTRICT,1972,1972-01-01,YEAR,OBSERVED,1.00,f6a1e685b7d7,IND-000366,IND-000450
b637b31d-e552-4b19-ae83-9c2444e509a5,RENAME,1971,1971-01-01,YEAR,OBSERVED,1.00,38d00acb3eb1,,
b6533711-237f-4fdd-8c9c-f2ff1e65057e,SPLIT,2023,2023-01-01,YEAR,OBSERVED,1.00,71c719a8fddc,,
b661da75-34ef-4baf-90b2-55ed25443b2c,NEW_DISTRICT,1980,1980-01-01,YEAR,OBSERVED,1.00,08cf04383ee6,IND-000409,IND-000408
b68e432d-3516-45c2-94b1-49c08f0c8188,RENAME,2011,2011-01-01,YEAR,OBSERVED,1.00,661ed637c6d5,,
b6c0ca4f-8ecc-4666-a61c-85539eab5b27,SPLIT,1972,1972-01-01,YEAR,OBSERVED,1.00,2441eeec3ab9,,
b7472fa2-8b9e-4c8f-8f7d-936c1907793a,SPLIT,1992,1992-01-01,YEAR,OBSERVED,1.00,2f4d25c94f24,,
b751a57a-3dc6-496f-929e-d23ebbdd86ef,NEW_DISTRICT,1998,1998-01-01,YEAR,OBSERVED,1.00,0a4d5ec481e5,IND-000186,IND-000673
b793006b-9e89-47fe-9e43-c733d8745b2f,NEW_DISTRICT,1997,1997-01-01,YEAR,OBSERVED,1.00,40fe12259ae0,IND-000116,IND-000597
b82b944c-821a-4982-89cb-1c27421a95bf,SPLIT,2012,2012-01-01,YEAR,OBSERVED,1.00,a6524e1e598e,,
b84d8a3e-ca16-4422-a158-b8d5bfb6fcaa,SPLIT,1998,1998-01-01,YEAR,OBSERVED,1.00,ab940194425d,,
b85b08fc-41f7-44c3-b813-3ebdd67a3873,NEW_DISTRICT,2006,2006-01-01,YEAR,OBSERVED,1.00,f734dd93dae1,IND-000249,IND-000733
b8843595-8ab4-46a0-8c65-a8bf4bb5addb,SPLIT,1973,1973-01-01,YEAR,OBSERVED,1.00,6566e5461f38,IND-000141,IND-000937
b89be0a0-dbe9-4938-9bb8-a99c539469a3,SPLIT,2019,2019-01-01,YEAR,OBSERVED,1.00,1f643244d4a0,,
b8ac3175-6978-478c-86ed-75c3ce981a36,SPLIT,2016,2016-01-01,YEAR,OBSERVED,1.00,40433ac62045,,
b8b8b375-02d4-4b63-9335-ab1e10b07ad3,NEW_DISTRICT,2006,2006-01-01,YEAR,OBSERVED,1.00,8a8bcea18434,IND-000349,IND-000734
b9739609-f30b-42d7-bd67-c023bf5fa402,NEW_DISTRICT,2003,2003-01-01,YEAR,OBSERVED,1.00,10b9f9a20914,IND-000672,IND-000776
b97e82fc-8351-4d63-8df2-9754bbb90104,SPLIT,1972,1972-01-01,YEAR,OBSERVED,1.00,cdfd4cce0a90,IND-000376,IND-000381
b9dc2bc1-b59b-474f-baf1-9a5d973abe1f,NEW_DISTRICT,1970,1970-01-01,YEAR,OBSERVED,1.00,9ab0eb275c10,,
ba13e49c-61ea-4dd0-bdee-00789f41a6ff,NEW_DISTRICT,1994,1994-01-01,YEAR,OBSERVED,1.00,2648e06906f4,IND-000445,IND-000591
ba1917d0-d852-475d-8ec5-3a0abfdb8471,SPLIT,1973,1973-01-01,YEAR,OBSERVED,1.00,d687db9158e6,,
ba1a9425-92e1-44a1-a6a7-7be34b595617,NEW_DISTRICT,1957,1957-01-01,YEAR,OBSERVED,1.00,dc9df79db7fd,IND-000212,IND-000335
ba3fe8d5-0dee-48d6-a023-0751ef3123f4,NEW_DISTRICT,2006,2006-01-01,YEAR,OBSERVED,1.00,03f21630b049,IND-000339,IND-000729
ba4fff59-5c35-4b6f-a102-826b432523e9,NEW_DISTRICT,1998,1998-01-01,YEAR,OBSERVED,1.00,59aa03e4659a,IND-000665,IND-000664
bab7809e-2fc0-486d-9d74-96474e6a4dbe,SPLIT,1999,1999-01-01,YEAR,OBSERVED,1.00,4e293d2d5551,,
baffbecd-946b-45f8-b64d-e5a507d39d0a,SPLIT,2007,2007-01-01,YEAR,OBSERVED,1.00,618512c675b7,,
bb0968ae-240e-4392-b420-1a3c66bba671,NEW_DISTRICT,2002,2002-01-01,YEAR,OBSERVED,1.00,0ccf63a35e14,IND-000305,IND-000760
bb1e4033-cddd-4ec9-adc5-85e8b3ba23d8,SPLIT,1987,1987-01-01,YEAR,OBSERVED,1.00,ff98dbec43a1,,
bb6a750c-cb63-4f83-8948-84b1c9bde38b,RENAME,2001,2001-01-01,YEAR,OBSERVED,1.00,a69d1058858f,,
bb8142ae-a83f-4536-8c7c-78296ed4a042,SPLIT,2022,2022-01-01,YEAR,OBSERVED,1.00,84ce0074c31c,,
bba75740-8799-44d9-abf0-ec83bf72c367,RENAME,2011,2011-01-01,YEAR,OBSERVED,1.00,e7744af4d997,,
bc002874-3f31-4bf1-a190-8c55f596211b,NEW_DISTRICT,2022,2022-01-01,YEAR,OBSERVED,1.00,f9705eed08f8,,
bc39088c-934d-427e-b4dc-16fa635e0e52,SPLIT,2007,2007-01-01,YEAR,OBSERVED,1.00,ea7c7761fa3d,,
bc71d75c-420c-4048-a0c5-db359c3c03e7,NEW_DISTRICT,1993,1993-01-01,YEAR,OBSERVED,1.00,75bf2c23ea1f,IND-000231,IND-000643
bc733457-62fc-4019-8184-19b25e745356,SPLIT,1991,1991-01-01,YEAR,OBSERVED,1.00,8f647fd44b48,,
bcc6c824-d57f-49fd-b4e1-68f5f2fd6cd8,NEW_DISTRICT,2016,2016-01-01,YEAR,OBSERVED,1.00,b9fb129cc9e2,IND-000002,IND-000828
bcef730e-ae90-4acb-b46c-12cd11e11934,SPLIT,1987,1987-01-01,YEAR,OBSERVED,1.00,d959ebd85736,,
bd006fc3-4634-4848-9a05-596e6d4f3744,SPLIT,2003,2003-01-01,YEAR,OBSERVED,1.00,aa0972164ba7,,
bd431289-c40f-4ae2-86b3-d86a75fdd0a3,SPLIT,1994,1994-01-01,YEAR,OBSERVED,1.00,23d21c6a2c08,,
bd5ac5fc-097e-44c8-a3ca-b598df378c5d,RENAME,1981,1981-01-01,YEAR,OBSERVED,1.00,e4c32cbc0038,,
bd94ec90-d0cc-459a-81ed-1cb515324c54,SPLIT,2006,2006-01-01,YEAR,OBSERVED,1.00,b94f20367e07,,
bd9f4a92-18da-4163-8e25-397a5ef07292,SPLIT,1972,1972-01-01,YEAR,OBSERVED,1.00,f310795ad14d,,
be2b3b82-da4f-445e-a1e7-359a0071e852,SPLIT,1991,1991-01-01,YEAR,OBSERVED,1.00,cadb7ac074c0,,
