event_id,event_type,effective_year,source_ck,source_district_name,source_state,target_ck,target_district_name,target_state,source_snapshot_id,target_snapshot_id,source_area_before_km2,target_area_before_km2,source_area_after_km2,target_area_after_km2,area_transferred_km2,area_received_km2,area_relinquished_km2,raw_transfer_weight,statistical_weight,coverage_score,overlap_excess,area_measurement_method,measurement_status,crosswalk_status,relationship_type,evidence_type,confidence,normalization_method,distribution_assumption,pipeline_run_id,area_retained_km2,overlap_area_km2,unaccounted_area_km2,net_source_area_change_km2,net_target_area_change_km2
2770c5bb-34ca-4eee-bdef-5734e5a6cd1a,NEW_DISTRICT,2013,IND-000772,Shajapur,Madhya Pradesh,IND-000947,Agar Malwa,Madhya Pradesh,3821,4326,6219.30033883042,,3250.6465486747643,2946.0786138211693,2916.254072785181,2916.254072785181,2916.254072785181,0.4689038820938501,0.46828353775282044,1.0,0.0013247195150325464,AREA_WEIGHTED,MEASURED,MEASURED_NORMALIZED,FORMED_FROM,,1.00,PROPORTIONAL_APPORTIONMENT,Weights normalized (pre-normalization sum=1.001) due to overlapping target geometries detected in crosswalk_errors,149f2020-a4d9-4dff-a50f-44da4f58f1cd,3250.6465486747643,8.238828528697185,52.39971737047472,-2968.6537901556553,2946.0786138211693
2771100e-5035-48cc-babd-73d52f0e5425,NEW_DISTRICT,2021,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
27cc7433-7629-4c74-ac4a-dbc583496b1d,NEW_DISTRICT,2016,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2819a0c8-bbfa-4328-a7cf-7e538e249d31,NEW_DISTRICT,1980,IND-000890,Kameng,Arunachal Pradesh,IND-000406,East Kameng,Arunachal Pradesh,4188,2352,13408.958841883028,,13408.958841883028,6271.9410720056485,,,,,,0.0,,UNMEASURED,UNMEASURED,UNMEASURED,FORMED_FROM,,1.00,NONE,No geometric data available for this lineage pair,149f2020-a4d9-4dff-a50f-44da4f58f1cd,13408.958841883028,0.0,0.0,0.0,6271.9410720056485
28249b42-17b4-4a10-b034-11d075116dd1,NEW_DISTRICT,2007,IND-000360,Hazaribag,Bihar,IND-000763,Ramgarh,Jharkhand,2072,3787,,,,1334.5467363172343,,,,,,0.0,,UNMEASURED,UNMEASURED,UNMEASURED,FORMED_FROM,,1.00,NONE,No geometric data available for this lineage pair,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,1334.5467363172343
283ad4c4-6869-43a9-90c6-5507232ac01f,SPLIT,1976,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
28dde404-cff8-41ea-8848-efa6a1080382,SPLIT,1995,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
2913dab2-950c-495b-8d0f-9242b43acc2e,SPLIT,1998,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
29333a9f-7957-4b4b-be5d-bb7330c2b951,SPLIT,1997,,,,,,,,,,,,,,,,,,,,,UNMEASURED,UNMEASURED,,,,,,149f2020-a4d9-4dff-a50f-44da4f58f1cd,0.0,0.0,,,
297955c4-1f30-4c6d-8872-7d23733f3fba,NEW_DISTRICT,1991,IND-000114,Bhagalpur,Bihar,IND-000589,Banka,Bihar,615,3064,5583.5020705443785,,5583.5020705443785,3033.2670903363296,3033.1719962630696,3033.1719962630696,3033.1719962630696,,0.5432382683736235,1.0000917676634917,,AREA_WEIGHTED,MEASURED,MEASURED,FORMED_FROM,,1.00,NONE,Uniform spatial distribution assumed across district area; no ancillary data available for this build,149f2020-a4d9-4dff-a50f-44da4f58f1cd,5583.5020705443785,0.0,-3033.1719962630705,0.0,3033.2670903363296
