event_id,event_type,effective_year,source_area_before_km2,retained_area,transferred_area,unaccounted_area,multi_target_overlap_km2,overlap_status,measurement_status,split_semantics,geometry_diagnosis
ac3cb67f-3383-4a54-9ea1-0d932480085c,NEW_DISTRICT,2006,4569.964730614893,0.0,615.4288619461432,3954.5358686687496,1335.2660556550513,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
090cd293-9588-4266-a8e8-4187f57e0dd0,NEW_DISTRICT,1991,,0.0,0.0,,,UNKNOWN,UNMEASURED,CARVE_OUT,VALID
2ef25821-5642-40d8-96d0-d6b8a715ea07,NEW_DISTRICT,1994,,0.0,0.0,,,UNKNOWN,UNMEASURED,CARVE_OUT,VALID
28249b42-17b4-4a10-b034-11d075116dd1,NEW_DISTRICT,2007,,0.0,0.0,,,UNKNOWN,UNMEASURED,CARVE_OUT,VALID
cbb90321-2cde-498a-93bf-979d6cff4e16,NEW_DISTRICT,1981,13378.296173600285,0.0,1499.8623926954556,11878.43378090483,3587.328627760882,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
c5f4bdec-3d54-48c5-a253-88fdd4f2237a,NEW_DISTRICT,1969,22478.364538398026,0.0,,,,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
99ef0550-df40-44e7-996d-f242feb6b409,NEW_DISTRICT,1969,22478.364538398026,0.0,,,,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
393205d9-5618-49f4-ac1b-ef6e614704b1,NEW_DISTRICT,1969,22478.364538398026,0.0,,,,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
0f5b8b88-8075-469e-9104-009e96ecfb21,NEW_DISTRICT,1997,1060.9735665754404,0.0,,,,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
97e4331e-f925-4909-8590-3d818f398c08,NEW_DISTRICT,1992,,0.0,0.0,,,INVALID_GEOMETRY,,CARVE_OUT,Missing source geometry observation.
b58eb440-4477-4b2f-8eb4-95be20469f9f,NEW_DISTRICT,2012,2755.7943622965463,0.0,,,,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
8c48c751-5421-4cfb-84e0-73ad96bb1d2f,NEW_DISTRICT,1995,5142.992654388533,0.0,308.7005428105297,4834.292111578004,717.9176942713345,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
6c4162bd-fd31-4a4d-9fcb-55fd6372503a,NEW_DISTRICT,1995,5142.992654388533,0.0,822.8645431639959,4320.128111224537,1818.3147769159152,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
76e6c690-ac96-401f-95a0-53224da46af1,NEW_DISTRICT,1973,7090.027624325411,0.0,121.32228539032785,6968.705338935083,4013.019856564988,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
6520db72-f80b-4657-8949-38d5efaddf59,NEW_DISTRICT,1979,15647.27243167411,0.0,1787.8694434241454,13859.402988249964,6187.349308177448,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
404e274e-f244-430c-988b-1ca05920ca54,NEW_DISTRICT,1993,,0.0,0.0,,,UNKNOWN,UNMEASURED,CARVE_OUT,VALID
d0892f39-6eb4-4277-ba88-b90e5b5a0b02,NEW_DISTRICT,2019,7195.058381544387,0.0,640.7263590300698,6554.332022514317,2608.8421162581662,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
9b710ebd-e4ce-440e-b950-ec507cdfe926,NEW_DISTRICT,2019,6749.190757824033,0.0,619.6066429048548,6129.584114919178,2160.7103381143884,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
8c42c5f4-dc3e-477c-a32b-baffb71e7f0b,NEW_DISTRICT,2016,,0.0,0.0,,,INVALID_GEOMETRY,,CARVE_OUT,Missing source geometry observation.
116466c9-78fb-400d-9402-de3ae17a3088,NEW_DISTRICT,2016,,0.0,0.0,,,INVALID_GEOMETRY,,CARVE_OUT,Missing source geometry observation.
25ac03b7-b02f-49d2-b95e-cb18e2679430,NEW_DISTRICT,1995,,0.0,0.0,,,UNKNOWN,UNMEASURED,CARVE_OUT,VALID
f0f72cc4-f670-4825-a71d-02d23b45db1e,NEW_DISTRICT,2012,2972.6680226576245,0.0,,,,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
9cd0263b-f69b-4746-ae22-894b56e3f25c,NEW_DISTRICT,1981,6176.028245495687,0.0,199.39131399512033,5976.636931500567,853.6517998101626,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
c376ba7b-b43f-4658-8e3d-ae133a859646,NEW_DISTRICT,1988,,0.0,0.0,,,INVALID_GEOMETRY,,CARVE_OUT,Missing source geometry observation.
785669f0-14db-41f0-bf15-84b2df5be2d3,NEW_DISTRICT,1995,4398.121714805266,0.0,344.7989682519793,4053.3227465532864,2050.6613376533796,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
99576adc-b35b-4c8a-a3b1-8408a29e8192,NEW_DISTRICT,1998,7696.634790293477,0.0,564.7973907699828,7131.837399523494,2692.8299037072243,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
0110aee8-99a8-4d53-b456-593c60f4a4d2,SPLIT,1957,12789.189098051245,0.0,1637.181464368416,11152.00763368283,4936.665484001929,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
de7bbfd9-4dfb-4d99-ad0a-a1ab19bb9884,SPLIT,1957,7230.064395931892,0.0,144.5510643205975,7085.513331611295,460.82094047968,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
2a3d4f4d-2792-49a6-9d12-26a1e6c373b2,SPLIT,1958,,0.0,0.0,,,INVALID_GEOMETRY,,CARVE_OUT,Missing source geometry observation.
5da46199-6375-437b-ae3a-fd451539069d,SPLIT,1969,6574.145904678048,0.0,699.7159262659284,5874.429978412119,2134.3468671236174,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
0d2afe3f-8189-4318-8ea3-0dd0d1dfb3ab,SPLIT,1969,22478.364538398026,0.0,,,,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
08ba2767-5a0e-4f5b-8b41-80d83960d2bd,SPLIT,1970,10370.715090609212,0.0,,,,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
a638752a-f852-48e5-95c3-46efce0a4ccf,SPLIT,1980,13408.958841883028,0.0,,,,UNKNOWN,UNMEASURED,CLEAN_SPLIT,VALID
8733945d-47d7-4876-87c9-5d90c5fea134,SPLIT,1972,6711.357397694583,0.0,1039.714112661689,5671.643285032894,3470.6483986278163,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
2ae43a35-6fcf-428e-8b5a-6edf6a41ff17,SPLIT,1976,14088.541902295321,0.0,,,,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
1bf8425d-1f71-411f-876d-d4854b6f3a1f,SPLIT,1973,7090.027624325411,0.0,121.32228539032785,6968.705338935083,4013.019856564988,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
3c13a119-198e-42ca-a26a-a9b42ccaed0f,SPLIT,1990,13468.991605306794,0.0,824.9515721749972,12644.040033131796,9074.388056318023,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
63bea055-41ca-43c8-a8a9-f353949c7c4e,SPLIT,1997,1467.8300703301863,0.0,101.79991540115607,1366.0301549290302,293.8466425650111,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
c0249205-a3ec-4947-be91-5b40547c9208,SPLIT,1997,1467.8300703301863,0.0,0.0,,,UNKNOWN,UNMEASURED,CLEAN_SPLIT,VALID
7b591880-04e8-4762-9f78-1469e8dd7655,SPLIT,1997,1467.8300703301863,0.0,104.63274077397638,1363.19732955621,300.5383840832053,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
fdaaf342-b1a0-4939-8d8a-9f4799f9b11a,SPLIT,1997,,0.0,0.0,,,INVALID_GEOMETRY,,CARVE_OUT,Missing source geometry observation.
d4a351ed-a384-443b-a68d-538ddf34663d,SPLIT,1997,1060.9735665754404,0.0,,,,EXTREME_OVERLAP,MEASURED,CLEAN_SPLIT,VALID
62b0c13c-1b18-444c-80d7-79e90307cccb,SPLIT,1997,2504.6456811336257,0.0,115.54098013219071,2389.104701001435,349.2800538620102,EXTREME_OVERLAP,MEASURED,CARVE_OUT,VALID
