event_id,event_type,effective_year,district_name,parent_district,child_district,reason_unmeasured,missing_geometry,missing_ck,missing_relationship,no_intersection,temporal_mismatch,ambiguous_lineage,other_reason
00772328-768d-49cb-84f3-f70debc83d68,RENAME,1951,,Tirap Frontier Tract,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
1ca19213-d6bb-4419-8b30-398ab1b32104,RENAME,1951,,Mishmi Hills,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
2aa448d7-f68c-431c-b59b-8a3982b50a54,RENAME,1951,,Abor Hills,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
3d37b4d2-4751-4b84-95b9-c2316880a586,RENAME,1951,,Kanara,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
4fd6b9a7-8c48-4c28-b0c1-5d8d5bff7773,RENAME,1951,,Satara South,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
5683bf92-3d90-4d68-978e-8387bc498e05,RENAME,1951,,Phulbani,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
5f6308cf-31d8-4324-9ba0-17fa27c38053,RENAME,1951,,Naga Hills,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
67b154f7-67b4-4e9f-95bd-72532e9ed46b,RENAME,1951,,Central Saurashtra,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
7783e4cf-3f2d-4c91-ace7-feeb6a0558f1,RENAME,1951,,East Khandesh,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
8f13355e-f5ce-4b55-b28b-faa65c10b684,RENAME,1951,,Satara North,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
92f1eb5c-790f-49d2-8094-f78c873fa489,RENAME,1951,,Gird,,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
98a73940-ec0f-4114-8e9b-899ff0b6baa9,RENAME,1951,Dhule,West Khandesh,Dhule,MISSING_RELATIONSHIP,true,true,true,false,false,false,false
